name,price,link
Лампа светодиод. груша ОНЛАЙТ Е27 20Вт 4000К ,102₽,https://obi.ru/products/lampa-svetodiod-grusha-onlajt-e27-20vt-4000k-5070651
Галогенная лампа Navigator NH-J R7s 150 Вт 1200 лм 117 мм,97₽,https://obi.ru/products/galogennaja-lampa-navigator-nh-j-r7s-150-vt-1200-lm-117-mm-4297560
Светодиодный светильник WOLTA WT5S20W120 20Вт 4000К IP20 1400лм 32x23x1178 мм,649₽,https://obi.ru/products/svetodiodnyj-svetilnik-wolta-wt5s20w120-20vt-4000k-ip20-1400lm-32x23x1178-mm-5711120
Лампа накаливания Navigator NI-R Е14 40 Вт 250 лм гриб,99₽,https://obi.ru/products/lampa-nakalivanija-navigator-ni-r-e14-40-vt-250-lm-grib-4044160
Лампа светодиод. шар ОНЛАЙТ Е27 12Вт 4000К ,83₽,https://obi.ru/products/lampa-svetodiod-shar-onlajt-e27-12vt-4000k-5070619
Лампа накаливания Navigator NI-V-G95 Е27 60 Вт 210 лм шар,1029₽,https://obi.ru/products/lampa-nakalivanija-navigator-ni-v-g95-e27-60-vt-210-lm-shar-4044459
Лампа галогенная автомобильная Tungsram H11 12V-55W 53110SXU B2 2 шт,749₽,https://obi.ru/products/lampa-galogennaja-avtomobilnaja-tungsram-h11-12v-55w-53110sxu-b2-2-sht-4896122
Лампа накаливания Navigator NI-V Е27 60 Вт 210 лм трубка,559₽,https://obi.ru/products/lampa-nakalivanija-navigator-ni-v-e27-60-vt-210-lm-trubka-4044467
Светодиодная лампа Simple Capsule 10W 2800K G9 (7038),259₽,https://obi.ru/products/svetodiodnaja-lampa-simple-capsule-10w-2800k-g9-7038-5063164
Лампа светодиодная таблетка 10 Вт gx53 4к нейтральный белый,77₽,https://obi.ru/products/lampa-svetodiodnaja-tabletka-10-vt-gx53-4k-nejtralnyj-belyj-5047270
Светодиодная лампа Simple MR16 7W 2800K 110° GU10 (7056),199₽,https://obi.ru/products/svetodiodnaja-lampa-simple-mr16-7w-2800k-110-gu10-7056-5063138
Люстра потолочная Rivoli Tammy белый,4179₽,https://obi.ru/products/ljustra-potolochnaja-rivoli-tammy-belyj-5068792
Настенно-потолочный светильник Apeyron белый 24 Вт,1979₽,https://obi.ru/products/nastenno-potolochnyj-svetilnik-apeyron-belyj-24-vt-5067959
Лампа светодиод. свеча ОНЛАЙТ Е14 12Вт 2700К ,83₽,https://obi.ru/products/lampa-svetodiod-svecha-onlajt-e14-12vt-2700k-5070622
Подвесной светильник LUMION GILLIAN 4589/1,3999₽,https://obi.ru/products/podvesnoj-svetilnik-lumion-gillian-4589-1-4808028
Люстра pollux 6хE27х40 Вт золото 42х22х42 см,12290₽,https://obi.ru/products/ljustra-pollux-6he27h40-vt-zoloto-42h22h42-sm-5001626
Люстра потолочная Rivoli Fiona белый,4179₽,https://obi.ru/products/ljustra-potolochnaja-rivoli-fiona-belyj-5068793
Уличный светильник NOVOTECH KAIMAS 357418 IP54,1999₽,https://obi.ru/products/ulichnyj-svetilnik-novotech-kaimas-357418-ip54-4511135
"Светодиодная лампа OSRAM CLASSIC A E27 5,5 Вт рефлекторная 470 лм 2700 К груша",149₽,https://obi.ru/products/svetodiodnaja-lampa-osram-classic-a-e27-5-5-vt-reflektornaja-470-lm-2700-k-grusha-4296034
Рассеиватель матовый ЭРА 1612-2A для профиля САВ261 п-образный 2000x16x12 мм,94₽,https://obi.ru/products/rasseivatel-matovyj-jera-1612-2a-dlja-profilja-sav261-p-obraznyj-2000x16x12-mm-4404745
Галогенная лампа Navigator NH-J R7s 100 Вт 800 лм,92₽,https://obi.ru/products/galogennaja-lampa-navigator-nh-j-r7s-100-vt-800-lm-4297529
Патрон Е27 с клеммной колодкой ЭРА пластик белый,89₽,https://obi.ru/products/patron-e27-s-klemmnoj-kolodkoj-jera-plastik-belyj-5065511
